id_vente,produit_id,date,pays,canal,quantité,remise
284,627,2025-04-21,Italie,Mobile app,2,19.7
285,520,2024-11-26,France,Réseaux sociaux,3,5.22
286,881,2024-12-17,Belgique,Mobile app,2,21.61
287,275,2025-06-14,France,Site web,1,17.09
288,492,2025-01-11,Belgique,Réseaux sociaux,3,21.72
289,827,2024-06-27,Italie,Mobile app,4,16.3
290,951,2024-12-27,Belgique,Mobile app,1,28.69
291,926,2024-10-27,Espagne,Site web,2,18.81
292,847,2024-11-14,France,Site web,3,17.21
293,36,2025-05-15,Italie,Site web,2,25.28
294,311,2025-03-08,Espagne,Email,4,11.38
295,44,2025-04-12,Belgique,Mobile app,1,9.47
296,155,2024-08-21,Belgique,Mobile app,1,15.1
297,77,2024-12-09,Espagne,Mobile app,2,17.53
298,590,2024-07-31,Belgique,Réseaux sociaux,1,6.61
299,613,2025-03-13,France,Réseaux sociaux,2,20.47
300,438,2025-01-02,Allemagne,Réseaux sociaux,2,24.07
301,432,2024-12-10,Belgique,Réseaux sociaux,3,17.32
302,542,2024-10-15,Italie,Réseaux sociaux,4,15.69
303,39,2025-03-09,Belgique,Site web,1,8.84
304,239,2024-06-18,Italie,Réseaux sociaux,1,27.29
305,13,2024-06-19,Belgique,Mobile app,2,22.63
306,122,2025-03-03,Belgique,Email,4,14.41
307,144,2024-09-04,Italie,Mobile app,3,19.77
308,684,2024-11-09,France,Mobile app,2,10.11
309,455,2025-01-26,Allemagne,Site web,4,1.79
310,368,2024-07-24,Allemagne,Email,1,6.12
311,759,2024-10-19,France,Mobile app,3,2.38
312,247,2024-11-02,Belgique,Site web,3,15.25
313,923,2025-02-07,Allemagne,Email,2,18.66
314,45,2025-05-15,France,Email,2,11.41
315,765,2024-09-23,France,Site web,3,15.9
316,375,2024-08-26,Allemagne,Réseaux sociaux,1,2.56
317,291,2025-01-14,Italie,Site web,1,23.1
318,207,2024-09-25,Espagne,Site web,3,0.98
319,924,2024-09-15,Italie,Réseaux sociaux,2,19.03
320,995,2024-09-27,Belgique,Site web,2,13.0
321,519,2024-12-15,Italie,Site web,1,5.51
322,958,2025-02-08,Espagne,Site web,4,15.69
323,242,2024-10-26,Espagne,Mobile app,4,23.43
324,622,2024-11-04,France,Site web,4,12.41
325,114,2024-08-25,Belgique,Site web,1,11.03
326,819,2024-12-25,France,Email,3,4.27
327,302,2024-11-26,Italie,Email,4,17.84
328,276,2024-09-04,Italie,Email,1,24.84
329,96,2024-11-24,Allemagne,Site web,1,16.84
330,294,2025-03-14,France,Réseaux sociaux,2,4.95
331,701,2025-04-03,France,Site web,2,19.84
332,360,2024-11-06,France,Mobile app,1,0.9
333,288,2024-11-03,France,Mobile app,2,25.14
334,154,2025-05-12,Espagne,Mobile app,2,27.64
335,570,2024-11-17,Allemagne,Mobile app,2,17.91
336,423,2024-10-01,Belgique,Site web,1,26.45
337,916,2024-12-07,Belgique,Email,4,2.54
338,850,2024-08-23,Belgique,Site web,2,6.85
339,50,2025-01-22,Espagne,Site web,1,9.52
340,207,2024-08-04,Allemagne,Site web,1,23.2
341,564,2025-01-24,Allemagne,Site web,3,14.53
342,854,2025-03-08,Espagne,Réseaux sociaux,3,10.45
343,883,2024-09-11,France,Email,4,4.74
344,662,2025-04-27,Italie,Email,3,24.32
345,565,2024-07-23,France,Mobile app,1,0.62
346,213,2025-03-21,Belgique,Site web,3,10.12
347,66,2024-09-27,France,Mobile app,2,7.28
348,232,2025-04-23,Espagne,Email,3,3.87
349,885,2024-09-14,Belgique,Email,1,5.16
350,811,2025-01-16,Italie,Mobile app,4,14.81
351,850,2024-11-29,Belgique,Email,4,12.78
352,663,2025-05-13,France,Email,4,15.55
353,717,2024-11-09,Allemagne,Réseaux sociaux,4,21.83
354,320,2024-08-30,Allemagne,Site web,2,26.77
355,767,2024-08-10,Allemagne,Site web,2,3.55
356,137,2025-04-21,Belgique,Email,2,2.48
357,881,2025-03-28,Allemagne,Email,3,9.61
358,647,2024-08-12,Espagne,Réseaux sociaux,3,16.39
359,937,2024-12-15,Italie,Mobile app,3,3.0
360,566,2025-04-23,Allemagne,Réseaux sociaux,4,21.48
361,65,2024-06-18,Espagne,Réseaux sociaux,4,16.68
362,514,2024-08-22,Espagne,Mobile app,3,22.45
363,132,2024-11-25,Belgique,Email,2,10.74
364,334,2024-12-26,Belgique,Site web,1,12.03
365,32,2024-08-06,Italie,Réseaux sociaux,3,24.23
366,868,2025-05-27,Italie,Réseaux sociaux,1,8.01
367,898,2025-05-10,France,Site web,2,11.44
368,872,2025-02-14,Italie,Réseaux sociaux,1,0.4
369,498,2025-01-01,Belgique,Mobile app,4,16.66
370,243,2025-01-08,Espagne,Site web,1,25.54
371,192,2025-03-21,France,Site web,3,0.84
372,142,2024-10-15,Italie,Mobile app,3,18.41
373,660,2025-04-15,Espagne,Mobile app,2,25.36
374,601,2024-12-20,Belgique,Site web,3,14.82
375,561,2024-10-09,Allemagne,Mobile app,1,9.39
376,648,2024-09-20,France,Réseaux sociaux,4,29.9
377,988,2025-01-19,Espagne,Email,1,1.94
378,191,2025-05-14,Belgique,Réseaux sociaux,1,6.31
379,942,2025-01-21,Belgique,Mobile app,1,26.56
380,149,2024-07-03,France,Réseaux sociaux,3,8.92
381,599,2024-11-16,France,Email,2,24.6
382,416,2024-07-23,Italie,Email,3,10.0
383,520,2025-03-10,Italie,Email,1,24.36
384,735,2024-08-17,France,Mobile app,2,20.57
385,869,2024-07-08,France,Mobile app,2,14.06
386,16,2024-09-06,Espagne,Mobile app,1,15.69
387,808,2025-04-27,Italie,Email,1,5.33
388,106,2024-09-21,Belgique,Mobile app,3,3.48
389,283,2024-12-17,Italie,Site web,2,21.51
390,104,2025-05-06,Italie,Réseaux sociaux,4,25.46
391,361,2025-02-14,France,Réseaux sociaux,2,21.66
392,658,2024-07-22,France,Site web,3,27.39
393,35,2024-12-06,Italie,Mobile app,1,26.7
394,113,2025-03-31,Allemagne,Réseaux sociaux,2,23.35
395,308,2024-10-22,Allemagne,Email,4,26.94
396,911,2024-09-23,Italie,Réseaux sociaux,3,5.02
397,959,2024-11-02,Allemagne,Réseaux sociaux,2,21.94
398,53,2024-11-01,Italie,Réseaux sociaux,3,22.61
399,859,2025-01-18,France,Mobile app,2,4.62
400,81,2025-01-17,France,Site web,1,27.29
401,616,2025-06-11,France,Réseaux sociaux,4,0.26
402,834,2025-04-25,Belgique,Email,1,13.04
403,369,2024-09-23,France,Réseaux sociaux,2,0.64
404,242,2024-10-26,France,Mobile app,4,15.7
405,31,2024-06-22,Italie,Mobile app,2,12.36
406,829,2024-11-21,Allemagne,Email,2,18.69
407,704,2024-08-01,Allemagne,Réseaux sociaux,4,22.99
408,869,2024-10-29,France,Réseaux sociaux,4,23.06
409,361,2025-05-17,France,Email,3,21.67
410,233,2025-03-05,France,Site web,4,3.06
411,610,2025-02-05,Italie,Mobile app,1,12.52
412,34,2024-08-31,Italie,Site web,4,24.48
413,243,2025-01-25,Italie,Site web,4,19.63
414,951,2025-01-24,Allemagne,Réseaux sociaux,3,20.43
415,59,2025-02-22,Belgique,Email,1,6.81
416,771,2025-02-22,Allemagne,Mobile app,1,9.75
417,529,2025-01-10,Italie,Site web,4,28.67
418,78,2024-08-21,Espagne,Site web,4,25.41
419,718,2025-04-14,Belgique,Réseaux sociaux,3,4.95
420,302,2024-10-03,France,Réseaux sociaux,1,16.34
421,678,2024-10-30,Allemagne,Réseaux sociaux,1,14.72
422,803,2024-10-19,Belgique,Email,2,13.31
423,897,2025-03-03,Espagne,Mobile app,3,14.12
424,112,2024-12-30,Belgique,Mobile app,3,19.29
425,413,2024-12-21,Allemagne,Réseaux sociaux,4,29.01
426,900,2025-04-11,Italie,Site web,1,26.26
427,317,2025-03-28,France,Réseaux sociaux,4,26.25
428,865,2024-12-05,Italie,Réseaux sociaux,3,21.1
429,145,2025-05-26,Italie,Email,1,0.53
430,668,2024-07-15,Allemagne,Réseaux sociaux,1,13.21
431,690,2024-11-09,Italie,Mobile app,3,15.33
432,858,2025-02-08,Italie,Réseaux sociaux,1,25.27
433,648,2024-10-04,Allemagne,Mobile app,2,27.69
434,930,2024-12-12,Allemagne,Site web,3,13.55
435,827,2025-02-15,Espagne,Mobile app,3,9.01
436,18,2024-08-10,Italie,Mobile app,1,10.12
437,351,2025-05-18,Belgique,Réseaux sociaux,3,17.36
438,955,2024-08-19,France,Mobile app,4,8.25
439,155,2025-02-18,France,Mobile app,3,27.32
440,784,2025-04-24,Allemagne,Site web,4,12.56
441,506,2025-06-10,Allemagne,Mobile app,2,29.7
442,778,2024-10-24,Espagne,Mobile app,2,3.29
443,360,2024-11-25,Italie,Réseaux sociaux,4,5.64
444,332,2025-02-15,Allemagne,Email,3,15.35
445,918,2025-02-07,Allemagne,Réseaux sociaux,4,26.05
446,528,2025-01-23,France,Site web,1,10.62
447,12,2024-11-19,Italie,Réseaux sociaux,4,25.12
448,75,2025-05-10,Espagne,Mobile app,2,12.76
449,212,2025-06-02,Allemagne,Email,2,25.59
450,691,2024-07-12,Allemagne,Réseaux sociaux,4,8.32
451,641,2024-07-15,Allemagne,Réseaux sociaux,2,14.16
452,283,2024-08-16,France,Site web,1,8.36
453,195,2024-10-26,Allemagne,Mobile app,3,6.46
454,780,2024-09-11,Allemagne,Réseaux sociaux,3,12.63
455,30,2024-10-14,France,Réseaux sociaux,4,10.04
456,9,2024-10-16,Allemagne,Email,2,23.61
457,309,2025-02-23,Italie,Site web,3,22.43
458,445,2024-10-06,Italie,Mobile app,2,10.76
459,310,2025-03-17,France,Réseaux sociaux,4,29.77
460,677,2024-09-26,Italie,Email,2,29.22
461,705,2025-02-05,Espagne,Réseaux sociaux,1,27.54
462,426,2025-02-20,Allemagne,Réseaux sociaux,1,17.6
463,817,2024-11-15,Espagne,Site web,2,12.37
464,772,2024-09-28,Italie,Email,1,9.39
465,704,2025-05-25,France,Email,4,0.45
466,591,2024-12-04,France,Mobile app,1,18.95
467,691,2025-04-14,Espagne,Réseaux sociaux,1,16.59
468,91,2025-05-16,Italie,Email,3,18.9
469,456,2025-06-14,Allemagne,Réseaux sociaux,3,17.28
470,444,2024-11-03,Italie,Réseaux sociaux,4,4.13
471,727,2025-04-01,Italie,Mobile app,1,20.86
472,79,2025-01-28,France,Mobile app,3,10.81
473,475,2025-01-03,Belgique,Email,2,15.49
474,927,2024-12-06,Allemagne,Réseaux sociaux,2,10.97
475,103,2024-11-22,Allemagne,Email,1,0.66
476,623,2024-08-18,France,Réseaux sociaux,4,26.3
477,456,2024-08-25,Italie,Email,1,4.46
478,990,2025-05-12,France,Email,3,17.47
479,314,2024-06-23,Italie,Réseaux sociaux,1,26.49
480,247,2024-08-02,Belgique,Site web,1,6.64
481,234,2025-03-24,Belgique,Mobile app,2,12.36
482,594,2024-09-14,Espagne,Réseaux sociaux,2,11.33
483,644,2025-02-27,Italie,Email,3,2.68
484,235,2024-09-20,France,Site web,4,12.71
485,790,2025-06-15,France,Email,4,14.38
486,387,2025-03-30,France,Site web,3,0.8
487,847,2025-03-14,Espagne,Réseaux sociaux,3,14.64
488,611,2025-04-02,Allemagne,Mobile app,1,2.81
489,943,2024-07-16,France,Email,1,26.77
490,38,2024-09-04,Belgique,Site web,4,19.5
491,161,2024-08-18,France,Site web,1,1.69
492,462,2024-11-16,France,Mobile app,1,24.81
493,944,2024-07-25,France,Email,2,10.85
494,449,2024-07-22,Allemagne,Réseaux sociaux,3,6.77
495,117,2024-07-09,France,Réseaux sociaux,3,7.62
496,241,2025-06-13,Allemagne,Email,2,17.93
497,26,2025-05-22,Allemagne,Mobile app,2,2.45
498,648,2024-12-15,Espagne,Mobile app,1,1.76
499,562,2025-01-13,Belgique,Mobile app,3,18.83
500,976,2024-07-05,France,Site web,4,29.46
501,806,2024-06-25,France,Site web,3,14.5
502,906,2025-04-10,France,Mobile app,4,12.4
503,298,2024-11-16,Allemagne,Email,2,28.42
504,805,2025-01-04,Italie,Réseaux sociaux,3,7.23
505,154,2025-04-08,Belgique,Site web,2,7.22
506,732,2024-07-17,France,Mobile app,3,27.15
507,652,2024-07-25,Italie,Site web,4,19.41
508,468,2024-09-24,Italie,Site web,2,1.61
509,49,2025-02-10,Italie,Mobile app,1,20.22
510,654,2024-08-14,Belgique,Email,3,24.6
511,46,2024-07-17,Italie,Réseaux sociaux,4,8.22
512,675,2025-02-24,France,Email,1,11.49
513,285,2025-06-11,France,Site web,2,5.93
514,780,2025-05-24,Espagne,Email,3,19.0
515,628,2024-11-13,Allemagne,Email,3,19.93
